Time,Temperature,Humidity,Wind Speed,Pressure,Precip.,Condition,Date
0,37,93,16,29.9,0,Cloudy,2017-01-01
1,37,93,17,29.9,0,Cloudy,2017-01-01
2,37,89,14,29.9,0,Cloudy,2017-01-01
3,36,89,14,29.9,0,Cloudy,2017-01-01
4,38,79,15,30,0,Mostly Cloudy,2017-01-01
5,40,70,15,30,0,Partly Cloudy,2017-01-01
6,42,60,20,30,0,Mostly Cloudy,2017-01-01
7,42,55,17,30.1,0,Mostly Cloudy,2017-01-01
8,42,51,23,30.1,0,Fair - Windy,2017-01-01
9,43,45,22,30.1,0,Fair - Windy,2017-01-01
10,44,42,16,30.1,0,Fair,2017-01-01
11,43,43,21,30.1,0,Fair - Windy,2017-01-01
12,42,43,12,30.2,0,Fair,2017-01-01
13,40,47,10,30.2,0,Fair,2017-01-01
14,41,45,9,30.3,0,Fair,2017-01-01
15,38,51,8,30.3,0,Fair,2017-01-01
16,37,52,12,30.4,0,Fair,2017-01-01
17,37,52,8,30.4,0,Fair,2017-01-01
18,35,59,8,30.4,0,Fair,2017-01-01
19,35,59,7,30.4,0,Partly Cloudy,2017-01-01
20,33,66,7,30.4,0,Fair,2017-01-01
21,33,66,7,30.4,0,Fair,2017-01-01
22,32,69,3,30.5,0,Cloudy,2017-01-01
23,30,75,0,30.5,0,Partly Cloudy,2017-01-01
0,29,78,0,30.5,0,Cloudy,2017-01-02
1,31,76,0,30.5,0,Cloudy,2017-01-02
2,31,79,0,30.5,0,Mostly Cloudy,2017-01-02
3,29,82,3,30.5,0,Mostly Cloudy,2017-01-02
4,30,85,5,30.5,0,Mostly Cloudy,2017-01-02
5,32,82,3,30.5,0,Cloudy,2017-01-02
6,36,67,7,30.6,0,Mostly Cloudy,2017-01-02
7,38,65,0,30.6,0,Mostly Cloudy,2017-01-02
8,40,65,0,30.5,0,Mostly Cloudy,2017-01-02
9,40,63,0,30.5,0,Cloudy,2017-01-02
10,40,60,0,30.5,0,Cloudy,2017-01-02
11,39,65,3,30.5,0,Cloudy,2017-01-02
12,40,70,5,30.5,0,Mostly Cloudy,2017-01-02
13,40,77,8,30.5,0,Cloudy,2017-01-02
14,39,82,8,30.5,0,Cloudy,2017-01-02
15,40,83,9,30.5,0,Cloudy,2017-01-02
16,40,83,7,30.4,0,Cloudy,2017-01-02
17,40,83,7,30.4,0,Cloudy,2017-01-02
18,41,79,8,30.4,0,Cloudy,2017-01-02
19,41,79,10,30.4,0,Light Rain,2017-01-02
20,41,82,12,30.3,0,Cloudy,2017-01-02
20,41,82,12,30.3,0,Cloudy,2017-01-02
21,41,82,13,30.3,0,Cloudy,2017-01-02
22,41,86,10,30.3,0,Cloudy,2017-01-02
23,41,86,8,30.3,0,Cloudy,2017-01-02
0,41,89,12,30.3,0,Cloudy,2017-01-03
1,41,93,16,30.3,0,Cloudy,2017-01-03
2,41,93,17,30.3,0,Cloudy,2017-01-03
3,43,81,18,30.2,0,Cloudy,2017-01-03
4,42,85,21,30.2,0,Cloudy - Windy,2017-01-03
5,41,89,20,30.2,0,Light Rain,2017-01-03
6,40,97,18,30.2,0,Light Rain,2017-01-03
7,41,96,17,30.1,0,Light Rain,2017-01-03
8,41,100,21,30.1,0,Light Rain - Windy,2017-01-03
9,41,100,20,30,0,Light Rain,2017-01-03
10,42,96,20,29.9,0,Light Rain,2017-01-03
11,42,100,18,29.9,0,Light Rain,2017-01-03
12,42,100,22,29.9,0,Light Rain - Windy,2017-01-03
13,42,100,22,29.8,0.1,Rain - Windy,2017-01-03
14,43,100,24,29.7,0.1,Light Rain - Windy,2017-01-03
15,43,100,21,29.7,0.1,Rain - Windy,2017-01-03
16,44,100,18,29.6,0.3,Heavy Rain,2017-01-03
17,43,100,20,29.6,0.1,Light Rain,2017-01-03
18,43,100,20,29.5,0,Light Rain,2017-01-03
19,43,100,21,29.4,0,Light Rain - Windy,2017-01-03
20,43,100,21,29.4,0,Light Rain - Windy,2017-01-03
21,44,100,13,29.3,0,Fog,2017-01-03
22,44,100,8,29.3,0,Fog,2017-01-03
23,43,100,8,29.3,0,Light Rain,2017-01-03
0,38,100,13,29.3,0,Fog,2017-01-04
1,37,100,9,29.3,0,Cloudy,2017-01-04
2,37,96,12,29.4,0,Cloudy,2017-01-04
3,37,93,9,29.4,0,Cloudy,2017-01-04
4,38,89,6,29.4,0,Cloudy,2017-01-04
5,39,93,9,29.4,0,Cloudy,2017-01-04
6,40,93,14,29.4,0,Cloudy,2017-01-04
7,42,89,13,29.4,0,Cloudy,2017-01-04
8,44,85,16,29.4,0,Cloudy,2017-01-04
9,46,79,13,29.4,0,Mostly Cloudy,2017-01-04
10,46,79,14,29.4,0,Cloudy,2017-01-04
11,46,76,9,29.4,0,Mostly Cloudy,2017-01-04
12,47,71,12,29.4,0,Mostly Cloudy,2017-01-04
13,47,71,9,29.4,0,Cloudy,2017-01-04
14,46,73,12,29.4,0,Light Rain,2017-01-04
15,42,79,20,29.4,0,Light Rain,2017-01-04
16,42,79,16,29.4,0,Cloudy,2017-01-04
17,36,81,23,29.5,0,Light Snow - Windy,2017-01-04
18,36,79,20,29.5,0,Partly Cloudy,2017-01-04
19,35,57,18,29.5,0,Partly Cloudy,2017-01-04
20,34,54,15,29.6,0,Fair,2017-01-04
21,32,54,20,29.6,0,Fair,2017-01-04
22,31,54,16,29.6,0,Fair,2017-01-04
23,30,59,21,29.6,0,Partly Cloudy - Windy,2017-01-04
0,29,58,16,29.7,0,Fair,2017-01-05
1,29,58,20,29.7,0,Fair,2017-01-05
2,29,56,20,29.8,0,Fair,2017-01-05
3,27,51,18,29.8,0,Fair,2017-01-05
4,27,53,13,29.8,0,Partly Cloudy,2017-01-05
5,28,51,18,29.8,0,Fair,2017-01-05
6,30,47,20,29.9,0,Fair,2017-01-05
7,30,41,20,29.8,0,Cloudy,2017-01-05
8,31,40,21,29.8,0,Partly Cloudy - Windy,2017-01-05
9,32,42,15,29.8,0,Mostly Cloudy,2017-01-05
10,33,38,10,29.8,0,Cloudy,2017-01-05
11,32,40,17,29.9,0,Partly Cloudy,2017-01-05
12,31,42,13,29.9,0,Cloudy,2017-01-05
13,31,42,12,29.9,0,Partly Cloudy,2017-01-05
14,30,45,8,29.9,0,Fair,2017-01-05
15,30,45,9,29.9,0,Cloudy,2017-01-05
16,30,47,10,29.9,0,Cloudy,2017-01-05
17,30,45,10,29.9,0,Cloudy,2017-01-05
18,30,45,7,29.9,0,Cloudy,2017-01-05
19,29,51,10,29.9,0,Cloudy,2017-01-05
20,29,51,12,29.9,0,Cloudy,2017-01-05
21,29,51,7,29.9,0,Cloudy,2017-01-05
22,29,54,8,29.9,0,Cloudy,2017-01-05
23,29,54,10,30,0,Cloudy,2017-01-05
0,28,61,9,29.9,0,Cloudy,2017-01-06
1,27,72,6,29.9,0,Cloudy,2017-01-06
2,27,75,7,29.9,0,Light Snow,2017-01-06
3,26,84,5,30,0,Light Snow,2017-01-06
4,26,88,6,30,0,Light Snow,2017-01-06
5,26,92,6,30,0,Light Snow,2017-01-06
6,27,81,5,30,0,Cloudy,2017-01-06
7,28,78,8,30,0,Cloudy,2017-01-06
8,29,72,7,30,0,Cloudy,2017-01-06
9,29,72,8,30,0,Mostly Cloudy,2017-01-06
10,30,59,9,30,0,Mostly Cloudy,2017-01-06
11,31,57,10,30,0,Mostly Cloudy,2017-01-06
12,30,54,9,30,0,Mostly Cloudy,2017-01-06
13,30,51,9,30.1,0,Cloudy,2017-01-06
14,29,51,12,30.1,0,Cloudy,2017-01-06
15,28,53,7,30.1,0,Mostly Cloudy,2017-01-06
16,27,51,12,30.2,0,Mostly Cloudy,2017-01-06
17,26,49,9,30.2,0,Cloudy,2017-01-06
18,26,49,7,30.2,0,Cloudy,2017-01-06
19,25,55,10,30.2,0,Partly Cloudy,2017-01-06
21,23,60,12,30.3,0,Fair,2017-01-06
22,22,63,9,30.3,0,Cloudy,2017-01-06
23,22,63,9,30.3,0,Cloudy,2017-01-06
0,22,63,8,30.3,0,Partly Cloudy,2017-01-07
1,22,60,9,30.3,0,Fair,2017-01-07
2,22,58,8,30.3,0,Cloudy,2017-01-07
3,22,60,10,30.3,0,Cloudy,2017-01-07
4,22,60,12,30.3,0,Cloudy,2017-01-07
5,23,53,10,30.3,0,Cloudy,2017-01-07
6,24,48,13,30.3,0,Cloudy,2017-01-07
7,24,57,14,30.3,0,Light Snow,2017-01-07
8,22,75,10,30.2,0,Light Snow,2017-01-07
9,21,92,15,30.2,0,Snow,2017-01-07
10,20,92,16,30.2,0,Light Snow,2017-01-07
11,20,92,18,30.2,0,Heavy Snow,2017-01-07
12,19,92,16,30.1,0,Light Snow,2017-01-07
13,19,92,18,30.1,0,Light Snow,2017-01-07
14,20,89,21,30.1,0,Light Snow - Windy,2017-01-07
15,19,88,21,30,0,Light Snow - Windy,2017-01-07
16,19,85,23,30,0,Light Snow - Windy,2017-01-07
17,18,84,24,30,0,Light Snow - Windy,2017-01-07
18,18,84,16,30.1,0,Light Snow,2017-01-07
19,17,88,16,30,0,Light Snow,2017-01-07
20,17,88,15,30,0,Light Snow,2017-01-07
21,17,84,16,30,0,Light Snow,2017-01-07
22,18,81,14,30,0,Light Snow,2017-01-07
23,18,81,15,30.1,0,Light Snow,2017-01-07
0,17,77,13,30.1,0,Fair,2017-01-08
1,16,68,13,30.1,0,Fair,2017-01-08
2,15,61,13,30.1,0,Fair,2017-01-08
3,13,62,10,30.1,0,Fair,2017-01-08
4,13,56,14,30.1,0,Fair,2017-01-08
5,14,52,15,30.1,0,Fair,2017-01-08
6,15,51,15,30.2,0,Fair,2017-01-08
7,17,47,14,30.2,0,Fair,2017-01-08
8,20,44,14,30.1,0,Fair,2017-01-08
9,21,40,16,30.1,0,Fair,2017-01-08
10,22,38,10,30.1,0,Fair,2017-01-08
11,22,37,14,30.2,0,Mostly Cloudy,2017-01-08
12,22,40,16,30.2,0,Partly Cloudy,2017-01-08
13,21,46,12,30.2,0,Partly Cloudy,2017-01-08
14,20,52,14,30.3,0,Mostly Cloudy,2017-01-08
15,19,54,13,30.3,0,Fair,2017-01-08
16,18,54,10,30.4,0,Partly Cloudy,2017-01-08
17,18,57,14,30.4,0,Mostly Cloudy,2017-01-08
18,17,56,15,30.4,0,Fair,2017-01-08
19,15,59,12,30.4,0,Fair,2017-01-08
20,14,62,13,30.5,0,Fair,2017-01-08
21,14,59,10,30.5,0,Fair,2017-01-08
22,14,64,14,30.5,0,Fair,2017-01-08
23,13,62,16,30.5,0,Fair,2017-01-08
0,12,61,14,30.6,0,Fair,2017-01-09
1,11,61,12,30.6,0,Fair,2017-01-09
2,11,64,15,30.6,0,Fair,2017-01-09
3,11,59,14,30.6,0,Fair,2017-01-09
4,11,59,13,30.6,0,Fair,2017-01-09
5,12,56,14,30.7,0,Fair,2017-01-09
6,14,54,8,30.7,0,Fair,2017-01-09
7,15,47,13,30.7,0,Fair,2017-01-09
8,16,47,7,30.6,0,Fair,2017-01-09
9,19,42,3,30.6,0,Mostly Cloudy,2017-01-09
10,19,43,8,30.6,0,Cloudy,2017-01-09
11,19,46,10,30.6,0,Cloudy,2017-01-09
12,19,47,12,30.6,0,Cloudy,2017-01-09
13,19,47,12,30.6,0,Cloudy,2017-01-09
14,19,50,14,30.7,0,Partly Cloudy,2017-01-09
15,18,57,13,30.7,0,Partly Cloudy,2017-01-09
16,17,59,10,30.6,0,Partly Cloudy,2017-01-09
17,17,59,10,30.6,0,Fair,2017-01-09
18,17,62,8,30.7,0,Fair,2017-01-09
19,17,65,9,30.6,0,Fair,2017-01-09
20,17,68,8,30.6,0,Fair,2017-01-09
21,17,74,9,30.6,0,Fair,2017-01-09
22,18,74,9,30.6,0,Fair,2017-01-09
23,18,78,12,30.6,0,Fair,2017-01-09
0,18,78,9,30.6,0,Fair,2017-01-10
1,20,65,7,30.6,0,Fair,2017-01-10
2,21,63,5,30.6,0,Partly Cloudy,2017-01-10
3,21,60,6,30.6,0,Mostly Cloudy,2017-01-10
4,22,60,6,30.6,0,Mostly Cloudy,2017-01-10
5,21,68,6,30.7,0,Cloudy,2017-01-10
6,22,66,7,30.7,0,Fair,2017-01-10
7,23,68,5,30.6,0,Fair,2017-01-10
8,25,66,7,30.6,0,Fair,2017-01-10
10,30,69,6,30.6,0,Cloudy,2017-01-10
11,33,72,5,30.5,0,Cloudy,2017-01-10
12,35,76,0,30.5,0,Cloudy,2017-01-10
13,36,79,3,30.5,0,Mostly Cloudy,2017-01-10
14,38,86,14,30.5,0,Light Rain,2017-01-10
15,38,86,15,30.5,0,Light Rain,2017-01-10
16,37,89,15,30.4,0,Light Rain,2017-01-10
17,38,93,15,30.4,0,Light Rain,2017-01-10
18,38,97,10,30.4,0,Light Rain,2017-01-10
19,38,100,15,30.3,0.1,Light Rain,2017-01-10
20,39,100,14,30.3,0,Cloudy,2017-01-10
21,40,100,10,30.2,0,Cloudy,2017-01-10
22,42,96,14,30.2,0,Cloudy,2017-01-10
23,43,89,15,30.1,0,Cloudy,2017-01-10
0,46,83,22,30.1,0,Light Rain - Windy,2017-01-11
1,47,90,21,30.1,0.1,Light Rain - Windy,2017-01-11
2,47,86,26,30.1,0,Cloudy - Windy,2017-01-11
3,48,83,26,30.1,0,Cloudy - Windy,2017-01-11
4,48,83,23,30.1,0,Cloudy - Windy,2017-01-11
5,48,80,21,30.2,0,Fair - Windy,2017-01-11
6,49,71,21,30.2,0,Fair - Windy,2017-01-11
7,51,63,22,30.2,0,Fair - Windy,2017-01-11
9,54,49,17,30.2,0,Fair,2017-01-11
10,55,42,12,30.2,0,Fair,2017-01-11
11,53,45,16,30.3,0,Cloudy,2017-01-11
12,50,50,8,30.3,0,Cloudy,2017-01-11
13,45,60,5,30.3,0,Mostly Cloudy,2017-01-11
14,43,65,9,30.3,0,Mostly Cloudy,2017-01-11
15,43,80,8,30.3,0,Cloudy,2017-01-11
16,43,80,10,30.3,0,Cloudy,2017-01-11
17,41,86,10,30.3,0,Cloudy,2017-01-11
18,41,89,9,30.3,0,Cloudy,2017-01-11
19,41,96,10,30.3,0,Cloudy,2017-01-11
20,41,100,7,30.2,0,Cloudy,2017-01-11
21,43,97,8,30.2,0,Light Rain,2017-01-11
22,44,100,5,30.1,0,Light Rain,2017-01-11
23,42,100,7,30.1,0,Light Rain,2017-01-11
0,44,100,7,30.1,0,Light Rain,2017-01-12
1,49,100,20,30,0,Light Rain,2017-01-12
2,51,92,17,30,0,Rain,2017-01-12
3,51,92,18,30,0,Cloudy,2017-01-12
4,52,89,21,30,0,Cloudy - Windy,2017-01-12
5,53,89,16,30,0,Cloudy,2017-01-12
6,56,80,20,30,0,Mostly Cloudy,2017-01-12
7,58,78,23,30,0,Partly Cloudy - Windy,2017-01-12
8,58,78,20,29.9,0,Mostly Cloudy,2017-01-12
9,60,72,15,29.9,0,Mostly Cloudy,2017-01-12
10,60,75,16,29.9,0,Cloudy,2017-01-12
11,60,75,14,29.9,0,Cloudy,2017-01-12
12,60,72,13,29.9,0,Mostly Cloudy,2017-01-12
14,53,89,8,29.9,0,Cloudy,2017-01-12
15,51,96,12,29.9,0,Rain,2017-01-12
16,51,96,9,29.9,0,Mostly Cloudy,2017-01-12
17,55,89,17,29.9,0,Mostly Cloudy,2017-01-12
18,56,84,20,29.9,0,Mostly Cloudy,2017-01-12
19,58,81,16,29.9,0,Cloudy,2017-01-12
20,58,81,15,29.9,0,Fair,2017-01-12
21,55,86,12,29.9,0,Fair,2017-01-12
22,58,81,16,30,0,Fair,2017-01-12
23,57,81,13,30,0,Fair,2017-01-12
0,55,80,15,30,0,Mostly Cloudy,2017-01-13
1,50,74,20,30.1,0,Cloudy,2017-01-13
2,46,66,15,30.1,0,Fair,2017-01-13
3,44,60,24,30.2,0,Fair - Windy,2017-01-13
4,42,62,15,30.2,0,Fair,2017-01-13
5,43,58,17,30.2,0,Mostly Cloudy,2017-01-13
6,44,53,23,30.3,0,Fair - Windy,2017-01-13
7,45,48,18,30.3,0,Fair,2017-01-13
8,45,44,21,30.3,0,Fair - Windy,2017-01-13
9,46,39,20,30.3,0,Fair,2017-01-13
10,45,39,20,30.3,0,Fair,2017-01-13
11,43,34,20,30.4,0,Partly Cloudy,2017-01-13
12,42,31,18,30.4,0,Partly Cloudy,2017-01-13
13,39,27,17,30.4,0,Partly Cloudy,2017-01-13
15,36,24,13,30.5,0,Fair,2017-01-13
16,33,32,12,30.6,0,Cloudy,2017-01-13
17,31,38,15,30.6,0,Fair,2017-01-13
18,29,40,13,30.6,0,Fair,2017-01-13
19,27,39,16,30.6,0,Partly Cloudy,2017-01-13
20,26,41,10,30.7,0,Mostly Cloudy,2017-01-13
21,24,37,15,30.7,0,Partly Cloudy,2017-01-13
22,23,37,13,30.7,0,Cloudy,2017-01-13
23,22,34,12,30.7,0,Partly Cloudy,2017-01-13
0,21,38,9,30.7,0,Fair,2017-01-14
1,20,38,10,30.7,0,Fair,2017-01-14
2,19,40,7,30.7,0,Fair,2017-01-14
3,19,40,9,30.7,0,Fair,2017-01-14
4,19,43,8,30.7,0,Partly Cloudy,2017-01-14
5,21,40,5,30.7,0,Partly Cloudy,2017-01-14
6,23,39,5,30.7,0,Cloudy,2017-01-14
7,24,40,0,30.6,0,Partly Cloudy,2017-01-14
8,27,34,5,30.6,0,Partly Cloudy,2017-01-14
9,27,37,7,30.5,0,Partly Cloudy,2017-01-14
10,29,38,8,30.5,0,Mostly Cloudy,2017-01-14
11,30,33,12,30.5,0,Mostly Cloudy,2017-01-14
12,30,36,10,30.5,0,Cloudy,2017-01-14
13,30,38,12,30.4,0,Cloudy,2017-01-14
14,29,45,13,30.4,0,Cloudy,2017-01-14
15,29,49,12,30.4,0,Cloudy,2017-01-14
16,29,56,10,30.4,0,Cloudy,2017-01-14
17,30,56,14,30.3,0,Cloudy,2017-01-14
18,30,64,14,30.3,0,Cloudy,2017-01-14
19,30,66,10,30.3,0,Cloudy,2017-01-14
20,30,66,10,30.3,0,Cloudy,2017-01-14
21,30,69,12,30.2,0,Cloudy,2017-01-14
22,30,69,10,30.2,0,Cloudy,2017-01-14
23,30,69,7,30.2,0,Mostly Cloudy,2017-01-14
0,30,69,15,30.2,0,Fair,2017-01-15
1,29,69,13,30.2,0,Fair,2017-01-15
2,28,69,10,30.2,0,Fair,2017-01-15
3,27,72,10,30.2,0,Fair,2017-01-15
4,28,66,9,30.3,0,Fair,2017-01-15
5,30,59,8,30.3,0,Fair,2017-01-15
6,32,52,9,30.3,0,Fair,2017-01-15
7,33,50,10,30.3,0,Fair,2017-01-15
8,34,48,10,30.3,0,Fair,2017-01-15
9,36,41,13,30.3,0,Fair,2017-01-15
10,37,39,13,30.3,0,Fair,2017-01-15
11,36,39,10,30.3,0,Fair,2017-01-15
12,36,37,9,30.3,0,Fair,2017-01-15
13,35,39,9,30.3,0,Fair,2017-01-15
14,35,40,7,30.3,0,Fair,2017-01-15
15,30,51,7,30.4,0,Fair,2017-01-15
16,29,51,7,30.4,0,Fair,2017-01-15
17,28,56,6,30.4,0,Fair,2017-01-15
18,28,51,3,30.4,0,Fair,2017-01-15
19,28,49,6,30.4,0,Fair,2017-01-15
20,27,51,6,30.4,0,Fair,2017-01-15
21,27,49,5,30.4,0,Fair,2017-01-15
22,26,53,6,30.4,0,Fair,2017-01-15
23,26,53,0,30.4,0,Fair,2017-01-15
0,24,60,0,30.4,0,Fair,2017-01-16
1,24,60,0,30.4,0,Fair,2017-01-16
2,26,63,0,30.4,0,Fair,2017-01-16
3,24,69,0,30.4,0,Fair,2017-01-16
4,25,75,5,30.4,0,Fair,2017-01-16
5,30,56,6,30.4,0,Fair,2017-01-16
6,33,52,12,30.4,0,Fair,2017-01-16
7,36,46,12,30.4,0,Fair,2017-01-16
8,37,41,18,30.3,0,Fair,2017-01-16
9,40,38,16,30.3,0,Partly Cloudy,2017-01-16
10,41,36,15,30.3,0,Partly Cloudy,2017-01-16
11,40,38,14,30.3,0,Partly Cloudy,2017-01-16
12,42,34,15,30.3,0,Cloudy,2017-01-16
13,40,38,14,30.3,0,Cloudy,2017-01-16
14,39,39,13,30.3,0,Mostly Cloudy,2017-01-16
15,37,46,13,30.2,0,Cloudy,2017-01-16
16,37,46,14,30.2,0,Cloudy,2017-01-16
17,36,50,13,30.2,0,Mostly Cloudy,2017-01-16
18,36,50,14,30.2,0,Mostly Cloudy,2017-01-16
19,36,52,16,30.2,0,Mostly Cloudy,2017-01-16
21,35,54,13,30.2,0,Partly Cloudy,2017-01-16
22,33,61,8,30.2,0,Fair,2017-01-16
23,32,64,9,30.2,0,Partly Cloudy,2017-01-16
0,34,54,6,30.2,0,Fair,2017-01-17
1,33,56,5,30.2,0,Partly Cloudy,2017-01-17
2,35,52,8,30.2,0,Fair,2017-01-17
3,34,54,6,30.2,0,Fair,2017-01-17
4,35,52,9,30.2,0,Mostly Cloudy,2017-01-17
5,37,46,9,30.2,0,Mostly Cloudy,2017-01-17
6,39,41,7,30.2,0,Partly Cloudy,2017-01-17
7,40,51,7,30.2,0,Partly Cloudy,2017-01-17
8,41,62,8,30.2,0,Partly Cloudy,2017-01-17
9,42,60,16,30.2,0,Mostly Cloudy,2017-01-17
10,42,62,13,30.2,0,Mostly Cloudy,2017-01-17
11,41,65,9,30.2,0,Cloudy,2017-01-17
12,41,70,9,30.2,0,Cloudy,2017-01-17
13,41,70,9,30.2,0,Cloudy,2017-01-17
14,40,83,15,30.2,0,Light Rain,2017-01-17
15,39,86,17,30.2,0,Light Rain,2017-01-17
16,38,89,18,30.1,0.1,Light Rain,2017-01-17
17,37,93,21,30.1,0.1,Light Rain - Windy,2017-01-17
18,37,96,16,30.1,0,Light Rain,2017-01-17
19,36,97,20,30.1,0.1,Wintry Mix,2017-01-17
20,37,96,16,30.1,0,Light Rain,2017-01-17
21,37,100,15,30.1,0,Light Rain,2017-01-17
22,37,100,16,30,0,Light Rain,2017-01-17
23,37,100,21,30,0,Light Rain - Windy,2017-01-17
0,37,96,22,30,0.1,Light Rain - Windy,2017-01-18
1,37,100,18,30,0,Light Rain,2017-01-18
2,37,96,16,30,0,Light Rain,2017-01-18
3,38,93,17,30,0,Light Rain,2017-01-18
4,38,97,14,30,0,Cloudy,2017-01-18
5,37,100,13,30,0,Light Rain,2017-01-18
6,39,100,15,30,0,Light Rain,2017-01-18
7,39,100,16,30,0,Light Rain,2017-01-18
8,39,100,16,29.9,0,Light Rain,2017-01-18
9,39,100,18,29.9,0,Light Rain,2017-01-18
10,39,100,14,29.9,0,Light Rain,2017-01-18
11,39,100,15,30,0,Light Drizzle,2017-01-18
12,40,97,12,30,0,Light Drizzle,2017-01-18
13,39,100,9,30,0,Light Rain,2017-01-18
14,35,100,9,30,0,Light Rain,2017-01-18
15,34,100,12,30,0,Wintry Mix,2017-01-18
16,34,100,8,30,0,Light Rain,2017-01-18
17,33,100,6,30,0,Light Drizzle,2017-01-18
18,33,100,9,30,0,Cloudy,2017-01-18
19,33,96,13,30,0,Cloudy,2017-01-18
20,32,100,8,30,0,Cloudy,2017-01-18
21,32,100,9,30,0,Cloudy,2017-01-18
22,32,92,7,30,0,Cloudy,2017-01-18
23,32,92,8,30,0,Cloudy,2017-01-18
0,31,96,6,30,0,Cloudy,2017-01-19
1,32,92,7,30,0,Cloudy,2017-01-19
2,33,92,5,30,0,Cloudy,2017-01-19
3,33,92,3,30,0,Cloudy,2017-01-19
4,33,92,5,30,0,Cloudy,2017-01-19
5,35,92,0,30,0,Fair,2017-01-19
6,38,89,0,30,0,Mostly Cloudy,2017-01-19
7,40,83,8,30,0,Mostly Cloudy,2017-01-19
8,43,74,12,29.9,0,Fair,2017-01-19
9,45,68,12,29.9,0,Fair,2017-01-19
10,46,61,13,29.9,0,Partly Cloudy,2017-01-19
11,44,65,13,29.9,0,Mostly Cloudy,2017-01-19
12,43,68,7,29.9,0,Mostly Cloudy,2017-01-19
13,43,68,6,29.9,0,Mostly Cloudy,2017-01-19
14,44,63,9,29.9,0,Cloudy,2017-01-19
15,43,65,12,30,0,Cloudy,2017-01-19
16,42,67,12,30,0,Cloudy,2017-01-19
17,42,65,10,30,0,Cloudy,2017-01-19
18,41,65,12,30,0,Cloudy,2017-01-19
19,39,67,14,30,0,Cloudy,2017-01-19
20,37,73,8,30,0,Partly Cloudy,2017-01-19
21,36,76,6,30,0,Partly Cloudy,2017-01-19
22,36,76,7,30,0,Partly Cloudy,2017-01-19
23,35,78,7,30,0,Mostly Cloudy,2017-01-19
0,35,82,9,30,0,Cloudy,2017-01-20
1,36,79,7,30,0,Cloudy,2017-01-20
2,36,76,6,30,0,Cloudy,2017-01-20
3,36,79,3,30,0,Cloudy,2017-01-20
4,36,79,5,30,0,Cloudy,2017-01-20
5,37,79,3,30,0,Cloudy,2017-01-20
6,38,79,0,30,0,Cloudy,2017-01-20
7,39,76,3,30,0,Cloudy,2017-01-20
8,39,79,0,30,0,Cloudy,2017-01-20
9,39,79,5,30,0,Cloudy,2017-01-20
10,39,79,0,30,0,Cloudy,2017-01-20
11,39,79,5,29.9,0,Cloudy,2017-01-20
12,39,79,6,29.9,0,Cloudy,2017-01-20
13,39,82,8,29.9,0,Cloudy,2017-01-20
14,39,82,8,29.9,0,Cloudy,2017-01-20
15,39,79,8,29.9,0,Cloudy,2017-01-20
16,39,79,6,29.9,0,Cloudy,2017-01-20
17,39,79,7,29.9,0,Cloudy,2017-01-20
18,38,83,6,29.9,0,Cloudy,2017-01-20
19,38,83,5,29.9,0,Cloudy,2017-01-20
20,38,83,8,29.9,0,Cloudy,2017-01-20
21,38,86,10,29.9,0,Cloudy,2017-01-20
22,37,96,5,29.9,0,Cloudy,2017-01-20
23,37,100,6,29.9,0,Cloudy,2017-01-20
0,38,97,6,29.9,0,Cloudy,2017-01-21
1,38,97,3,29.9,0,Cloudy,2017-01-21
2,38,100,5,29.8,0,Cloudy,2017-01-21
3,39,96,6,29.8,0,Cloudy,2017-01-21
4,40,93,12,29.8,0,Cloudy,2017-01-21
5,41,89,8,29.8,0,Cloudy,2017-01-21
6,43,86,6,29.8,0,Cloudy,2017-01-21
7,44,82,7,29.8,0,Cloudy,2017-01-21
8,47,77,7,29.8,0,Cloudy,2017-01-21
9,49,74,13,29.7,0,Partly Cloudy,2017-01-21
10,52,69,6,29.7,0,Fair,2017-01-21
11,54,66,7,29.7,0,Fair,2017-01-21
12,55,64,13,29.7,0,Mostly Cloudy,2017-01-21
13,54,66,10,29.7,0,Cloudy,2017-01-21
14,53,69,12,29.7,0,Cloudy,2017-01-21
15,52,69,8,29.7,0,Cloudy,2017-01-21
16,52,71,8,29.7,0,Cloudy,2017-01-21
17,52,71,7,29.7,0,Cloudy,2017-01-21
18,49,80,8,29.7,0,Fair,2017-01-21
19,46,83,5,29.7,0,Fair,2017-01-21
20,43,89,3,29.7,0,Fair,2017-01-21
21,40,93,0,29.7,0,Cloudy,2017-01-21
22,40,100,3,29.7,0,Cloudy,2017-01-21
23,41,96,0,29.7,0,Cloudy,2017-01-21
0,40,100,3,29.7,0,Cloudy,2017-01-22
1,39,100,5,29.7,0,Cloudy,2017-01-22
2,39,96,0,29.8,0,Mostly Cloudy,2017-01-22
3,42,96,5,29.8,0,Mostly Cloudy,2017-01-22
4,44,89,3,29.8,0,Cloudy,2017-01-22
5,43,97,0,29.8,0,Cloudy,2017-01-22
6,44,85,7,29.8,0,Mostly Cloudy,2017-01-22
7,46,86,12,29.8,0,Cloudy,2017-01-22
8,46,87,13,29.8,0,Cloudy,2017-01-22
9,46,87,15,29.8,0,Cloudy,2017-01-22
10,44,93,16,29.8,0,Cloudy,2017-01-22
11,42,100,15,29.8,0,Light Rain,2017-01-22
12,41,100,17,29.8,0,Light Rain,2017-01-22
13,41,96,17,29.9,0,Light Rain,2017-01-22
